gic2,cik,GVKEY,permno,Industry,CompName,esg_report,year,filename,sentence,Label
10,93410,2991,14541,Energy,CHEVRON CORP,1,2002,CHEVRON CORP_2002.txt,"Since 2001, more than 200 workshops have been held, and multiple scholarships have been given to instructors to expand the program in other communities.",CR
10,93410,2991,14541,Energy,CHEVRON CORP,1,2002,CHEVRON CORP_2002.txt,ChevronTexaco also takes steps to provide a working environment free of discrimination or harassment.,HC
10,93410,2991,14541,Energy,CHEVRON CORP,1,2002,CHEVRON CORP_2002.txt,"Over the history of the program, the awards’ 1,000-plus recipients have helped protect wildlife, create natural preserves, establish parks and launch educational programs to heighten environmental awareness.",NC
10,93410,2991,14541,Energy,CHEVRON CORP,1,2006,CHEVRON CORP_2006.txt,"During peak malaria season, malaria prevention initiatives at Chevron clinics led to a drop from about 50 cases a day in 2005 to between 5 and 10 in 2006.",CR
10,93410,2991,14541,Energy,CHEVRON CORP,1,2008,CHEVRON CORP_2008.txt,"In 2008, U.S. employees and retirees recorded more than 110,000 hours of volunteering through Humankind, and program participants and the company contributed $20 million to advance the work of nonprofit organizations.",CR
10,93410,2991,14541,Energy,CHEVRON CORP,1,2014,CHEVRON CORP_2014.txt,"Left: At the first Chevron-supported Fab Lab at California State University, Bakersfield, students benefit from project-based learning and explore the engineering design process in a real-world context.",CR
10,93410,2991,14541,Energy,CHEVRON CORP,1,2017,CHEVRON CORP_2017.txt,"For compiling and reporting air emissions data, Chevron follows regulatory definitions of VOC.",CC
10,93410,2991,14541,Energy,CHEVRON CORP,0,2014,edgar/data/93410/0001193125-14-138322.txt,The Committee may retain the services of an independent compensation consultant to assist the Committee with its work.,CG
10,107263,11506,38156,Energy,WILLIAMS COS INC,1,2019,WILLIAMS COS INC_2019.txt,"In 2019, 35% of land owned, leased and operated by Williams was within or near areas of protected conservation status or endangered species habitat.",NC
10,107263,11506,38156,Energy,WILLIAMS COS INC,1,2019,WILLIAMS COS INC_2019.txt,"The Code of Business Conduct is our primary mechanism to drive compliance with all laws, avoid conflicts of interest, maintain a safe and inclusive workforce and report ethical concerns.",BE
10,107263,11506,38156,Energy,WILLIAMS COS INC,0,2011,edgar/data/107263/0000950123-11-033663.txt,Our compensation programs are intended to reward our NEOs for successfully implementing our strategy to grow our business and create long-term stockholder value.,CG
10,6769,1678,39490,Energy,APACHE CORP,1,2017,APACHE CORP_2017.txt,Some vendors and chemical suppliers maintain legal rights granted by state or federal authorities to protect intellectual property and refuse to fully detail the composition of additives.,PL
10,6769,1678,39490,Energy,APACHE CORP,1,2017,APACHE CORP_2017.txt,"Wet lands along the Gulf Coast are also home to populations of bald eagles, a formerly endangered species.",NC
10,6769,1678,39490,Energy,APACHE CORP,1,2017,APACHE CORP_2017.txt,"In 2017, we plan to implement additional programs to elevate our contractor safety performance.",HC
10,6769,1678,39490,Energy,APACHE CORP,1,2017,APACHE CORP_2017.txt,Apache promotes a variety of learning opportunities for leaders and supervisors as well as mid level and field employees.,HC
10,6769,1678,39490,Energy,APACHE CORP,1,2018,APACHE CORP_2018.txt,"Apache is committed to preserving, protecting and fostering the culture of trust and integrity that has long defined Apache as a company.",BE
10,6769,1678,39490,Energy,APACHE CORP,1,2019,APACHE CORP_2019.txt,Apache has made major efforts to advance water treatment technologies since 2012.,NC
10,6769,1678,39490,Energy,APACHE CORP,1,2019,APACHE CORP_2019.txt,"When our employees said in 2016 that they were hungry for learning opportunities, they were not kidding.",HC
10,6769,1678,39490,Energy,APACHE CORP,1,2019,APACHE CORP_2019.txt,"Over the years, hundreds of Apache employees have participated in two separate 150-mile bike rides in Texas: the Houston MS150 and the Cactus & Crude Ride in Midland, for which Apache was the lead sponsor in 2018.",CR
10,6769,1678,39490,Energy,APACHE CORP,0,2011,edgar/data/6769/0000950123-11-033768.txt,The 2010 annual cash incentive bonus for each named executive officer was comprised of a corporate performance element and an individual performance element.,CG
10,6769,1678,39490,Energy,APACHE CORP,0,2019,edgar/data/6769/0001193125-19-101241.txt,"The Code of Business Conduct requires directors, officers, and employees to inform the Company of any transaction that involves related parties and that may give rise to a conflict of interest.",BE
10,717423,7620,28345,Energy,MURPHY OIL CORP,1,2019,MURPHY OIL CORP_2019.txt,We also recognize the importance of allowing individuals room to explore opportunities and grow their careers.,HC
10,1168054,150699,89509,Energy,CIMAREX ENERGY CO,1,2015,CIMAREX ENERGY CO_2015.txt,"Through this and other efforts, we have reduced emissions by 8.2% since 2005, which represents 41% of our goal.",CC
10,1168054,150699,89509,Energy,CIMAREX ENERGY CO,1,2019,CIMAREX ENERGY CO_2019.txt,Active community engagement teams at many of our locations take the lead in evaluating the needs of the community and identifying organizations the facility may partner with to deliver a lasting and meaningful impact.,CR
15,51434,6104,21573,Materials,INTL PAPER CO,1,2015,INTL PAPER CO_2015.txt,"In 2015, IP recorded an increase of 104% in composting its solid waste, when compared to 2014 .",PW
15,51434,6104,21573,Materials,INTL PAPER CO,1,2016,INTL PAPER CO_2016.txt,"There will be no retaliation against anyone who makes a report in good faith, even if no violation has actually occurred.",BE
15,51434,6104,21573,Materials,INTL PAPER CO,1,2017,INTL PAPER CO_2017.txt,"IP Brazil puts great effort in selecting respectable business partners, committed to high ethical standards in conducting their business, safe and healthy working environments, protecting human rights and dignity, as well as the environment and legal compliance.",HC
